Energy_eV PDF
9.375307030211545527e+06 6.764188508124037392e-04
9.638502122953753918e+06 5.855096703242879466e-04
9.909085950445700437e+06 5.043092010020138469e-04
1.018726593829184957e+07 4.337275665738860768e-04
1.047325533520207182e+07 3.762186964223439962e-04
1.076727337646499649e+07 3.284113028371848236e-04
1.106954545201060921e+07 2.699998573288893465e-04
1.138030327919083461e+07 2.244078699560699182e-04
1.169978508041069284e+07 1.893161175873401755e-04
1.202823576574608684e+07 1.620089458181242037e-04
1.236590712068828940e+07 1.389034266133621308e-04
1.271305799915905669e+07 1.191096592384451248e-04
1.306995452194422670e+07 1.028150614026086487e-04
1.343687028069800325e+07 9.045904649617338936e-05
1.381408654767433181e+07 8.009815658950423948e-05
1.420189249134613201e+07 7.255765704679158462e-05
1.460058539807758480e+07 6.549928343780494198e-05
1.501047090001948550e+07 5.883683351937619088e-05
1.543186320940241590e+07 5.671223455335280280e-05
1.586508535940725543e+07 5.271186398769774171e-05
1.631046945179768652e+07 4.979439837691017302e-05
1.676835691150450148e+07 4.810702156635650773e-05
1.723909874835699797e+07 4.456839186941344874e-05
1.772305582616200298e+07 4.285597984773080774e-05
1.822059913933677599e+07 4.108251848314546640e-05
1.873211009730785713e+07 3.900304801135866820e-05
1.925798081689397991e+07 3.709385904805397673e-05
1.979861442289714515e+07 2.869065497633483102e-05
2.035442535713212192e+07 0.000000000000000000e+00
2.092583969613154605e+07 0.000000000000000000e+00
2.151329547776986286e+07 0.000000000000000000e+00
2.211724303705682606e+07 0.000000000000000000e+00
2.273814535135775805e+07 0.000000000000000000e+00
2.337647839530518278e+07 0.000000000000000000e+00
2.403273150567398220e+07 0.000000000000000000e+00
2.470740775649984181e+07 0.000000000000000000e+00
2.540102434472850710e+07 0.000000000000000000e+00
2.611411298669134080e+07 0.000000000000000000e+00
2.684722032571124285e+07 0.000000000000000000e+00
2.760090835115147755e+07 0.000000000000000000e+00
2.837575482922853529e+07 0.000000000000000000e+00
2.917235374591923878e+07 0.000000000000000000e+00
2.999131576230162382e+07 0.000000000000000000e+00
3.083326868267886341e+07 0.000000000000000000e+00
3.169885793584489822e+07 0.000000000000000000e+00
3.258874706986065209e+07 0.000000000000000000e+00
3.350361826072032005e+07 0.000000000000000000e+00
3.444417283529740572e+07 0.000000000000000000e+00
3.541113180897170305e+07 0.000000000000000000e+00
3.640523643834921718e+07 0.000000000000000000e+00
3.742724878949858248e+07 0.000000000000000000e+00
3.847795232213968039e+07 0.000000000000000000e+00
3.955815249023245275e+07 0.000000000000000000e+00
4.066867735942622274e+07 0.000000000000000000e+00
4.181037824184265733e+07 0.000000000000000000e+00
4.298413034867906570e+07 0.000000000000000000e+00
4.419083346113260090e+07 0.000000000000000000e+00
4.543141262015943974e+07 0.000000000000000000e+00
4.670681883559759706e+07 0.000000000000000000e+00
4.801802981519702077e+07 0.000000000000000000e+00
4.936605071411618590e+07 0.000000000000000000e+00
5.075191490545938909e+07 0.000000000000000000e+00
5.217668477244535089e+07 0.000000000000000000e+00
5.364145252281473577e+07 0.000000000000000000e+00
5.514734102610047162e+07 0.000000000000000000e+00
5.669550467440322042e+07 0.000000000000000000e+00
5.828713026733158529e+07 0.000000000000000000e+00
5.992343792178521305e+07 0.000000000000000000e+00
6.160568200727847964e+07 0.000000000000000000e+00
6.333515210752188414e+07 0.000000000000000000e+00
6.511317400899820775e+07 0.000000000000000000e+00
6.694111071729092300e+07 0.000000000000000000e+00
6.882036350194419920e+07 0.000000000000000000e+00
7.075237297065575421e+07 0.000000000000000000e+00
7.273862017362579703e+07 0.000000000000000000e+00
7.478062773890832067e+07 0.000000000000000000e+00
7.687996103963534534e+07 0.000000000000000000e+00
7.903822939400918782e+07 0.000000000000000000e+00
8.125708729898244143e+07 0.000000000000000000e+00
8.353823569857096672e+07 0.000000000000000000e+00
8.588342328777256608e+07 0.000000000000000000e+00
8.829444785309112072e+07 0.000000000000000000e+00
9.077315765069356561e+07 0.000000000000000000e+00
9.332145282325585186e+07 0.000000000000000000e+00
9.594128685658469796e+07 0.000000000000000000e+00
9.863466807713088393e+07 0.000000000000000000e+00
